Place,Magnitude,Link,Date
"15km W of Petrolia, CA",5.21,https://earthquake.usgs.gov/earthquakes/eventpage/nc73355700,2472-02-16
"246km S of Kangin, Indonesia",6.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hzl,2472-02-15
"6km NNE of Magna, Utah",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/uu60363602,2472-02-13
"158km WSW of Lata, Solomon Islands",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hml,2472-02-09
"97km NNW of Sola, Vanuatu",6.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkg,2472-02-09
"142km N of Tobelo, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkf,2472-02-09
"172km E of Hihifo, Tonga",6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008h76,2472-02-04
"53km NNW of Tome, Chile",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008gzt,2472-02-01
"195km SSE of Lata, Solomon Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g8y,2472-01-18
"95km WNW of Bandar 'Abbas, Iran",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g7m,2472-01-17
"116km SW of Panenggoede, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008g6f,2472-01-17
"25km SW of Villa Comaltitlan, Mexico",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fuy,2472-01-09
"298km NE of Raoul Island, New Zealand",6.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fl8,2472-01-02
"4km SE of Puerto Armuelles, Panama",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008euj,2471-12-21
"86km ENE of Iquique, Chile",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008eru,2471-12-20
"107km WSW of San Nicolas, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008epc,2471-12-18
"26km NNW of Nanao, Japan",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008egj,2471-12-16
"111km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e9x,2471-12-15
"99km S of Wonosari, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008e67,2471-12-13
"112km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dwq,2471-12-07
"70km S of Panguna, Papua New Guinea",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dpf,2471-12-06
"134km SE of L'Esperance Rock, New Zealand",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008dgf,2471-11-30
"127km SW of Kuripan, Indonesia",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d51,2471-11-25
"88km NNE of San Pedro de Atacama, Chile",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d4v,2471-11-25
"209km NNW of Puerto Ayora, Ecuador",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008d3z,2471-11-24
"145km ENE of Luring, China",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008clh,2471-11-17
"156km NNE of Rumung, Micronesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008cdq,2471-11-13
"69km W of Petrolia, CA",5.77,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351710,2471-11-10
"30km SSE of Canico, Portugal",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008brw,2471-10-29
West Chile Rise,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bmi,2471-10-26
"294km WNW of Saumlaki, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008blz,2471-10-25
"53km WSW of Port-Vila, Vanuatu",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bj6,2471-10-23
"71km SE of Estacion Coahuila, B.C., MX",5.49,https://earthquake.usgs.gov/earthquakes/eventpage/ci38385946,2471-10-22
"23km ESE of Buenos Aires, Costa Rica",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bgr,2471-10-21
